country,iso3,date,Year,Month,cases,source
Afghanistan,AFG,2024-01-01T00:00:00Z,2024,1,260,WHO
Afghanistan,AFG,2024-02-01T00:00:00Z,2024,2,196,WHO
Afghanistan,AFG,2024-03-01T00:00:00Z,2024,3,157,WHO
Afghanistan,AFG,2024-04-01T00:00:00Z,2024,4,89,WHO
Afghanistan,AFG,2024-05-01T00:00:00Z,2024,5,241,WHO
Afghanistan,AFG,2024-06-01T00:00:00Z,2024,6,145,WHO
Afghanistan,AFG,2024-07-01T00:00:00Z,2024,7,314,WHO
Afghanistan,AFG,2024-08-01T00:00:00Z,2024,8,551,WHO
Afghanistan,AFG,2024-09-01T00:00:00Z,2024,9,450,WHO
Afghanistan,AFG,2024-10-01T00:00:00Z,2024,10,1197,WHO
Afghanistan,AFG,2024-11-01T00:00:00Z,2024,11,837,WHO
Afghanistan,AFG,2024-12-01T00:00:00Z,2024,12,285,WHO
Afghanistan,AFG,2025-01-01T00:00:00Z,2025,1,71,WHO
Afghanistan,AFG,2025-02-01T00:00:00Z,2025,2,26,WHO
Afghanistan,AFG,2025-03-01T00:00:00Z,2025,3,18,WHO
Albania,ALB,2024-01-01T00:00:00Z,2024,1,0,WHO
Albania,ALB,2024-02-01T00:00:00Z,2024,2,0,WHO
Albania,ALB,2024-03-01T00:00:00Z,2024,3,0,WHO
Albania,ALB,2024-04-01T00:00:00Z,2024,4,0,WHO
Albania,ALB,2024-05-01T00:00:00Z,2024,5,0,WHO
Albania,ALB,2024-06-01T00:00:00Z,2024,6,0,WHO
Albania,ALB,2024-07-01T00:00:00Z,2024,7,0,WHO
Albania,ALB,2024-08-01T00:00:00Z,2024,8,0,WHO
Albania,ALB,2024-09-01T00:00:00Z,2024,9,0,WHO
Albania,ALB,2024-10-01T00:00:00Z,2024,10,0,WHO
Albania,ALB,2024-11-01T00:00:00Z,2024,11,0,WHO
Albania,ALB,2024-12-01T00:00:00Z,2024,12,0,WHO
Albania,ALB,2025-01-01T00:00:00Z,2025,1,0,WHO
Albania,ALB,2025-02-01T00:00:00Z,2025,2,0,WHO
Albania,ALB,2025-03-01T00:00:00Z,2025,3,0,WHO
Albania,ALB,2025-04-01T00:00:00Z,2025,4,0,WHO
Albania,ALB,2025-05-01T00:00:00Z,2025,5,0,WHO
Albania,ALB,2025-06-01T00:00:00Z,2025,6,0,WHO
Albania,ALB,2025-07-01T00:00:00Z,2025,7,0,WHO
Andorra,AND,2024-01-01T00:00:00Z,2024,1,0,WHO
Andorra,AND,2024-02-01T00:00:00Z,2024,2,0,WHO
Andorra,AND,2024-03-01T00:00:00Z,2024,3,0,WHO
Andorra,AND,2024-04-01T00:00:00Z,2024,4,0,WHO
Andorra,AND,2024-05-01T00:00:00Z,2024,5,0,WHO
Andorra,AND,2024-06-01T00:00:00Z,2024,6,0,WHO
Andorra,AND,2024-07-01T00:00:00Z,2024,7,0,WHO
Andorra,AND,2024-08-01T00:00:00Z,2024,8,0,WHO
Andorra,AND,2024-09-01T00:00:00Z,2024,9,0,WHO
Andorra,AND,2024-10-01T00:00:00Z,2024,10,0,WHO
Andorra,AND,2024-11-01T00:00:00Z,2024,11,0,WHO
Andorra,AND,2024-12-01T00:00:00Z,2024,12,0,WHO
Andorra,AND,2025-01-01T00:00:00Z,2025,1,0,WHO
Andorra,AND,2025-02-01T00:00:00Z,2025,2,0,WHO
Andorra,AND,2025-03-01T00:00:00Z,2025,3,0,WHO
Andorra,AND,2025-04-01T00:00:00Z,2025,4,0,WHO
Andorra,AND,2025-05-01T00:00:00Z,2025,5,0,WHO
Andorra,AND,2025-06-01T00:00:00Z,2025,6,0,WHO
Andorra,AND,2025-07-01T00:00:00Z,2025,7,0,WHO
Angola,AGO,2024-01-01T00:00:00Z,2024,1,0,WHO
Angola,AGO,2024-02-01T00:00:00Z,2024,2,0,WHO
Angola,AGO,2024-03-01T00:00:00Z,2024,3,0,WHO
Angola,AGO,2024-04-01T00:00:00Z,2024,4,0,WHO
Angola,AGO,2024-05-01T00:00:00Z,2024,5,6,WHO
Angola,AGO,2024-06-01T00:00:00Z,2024,6,0,WHO
Angola,AGO,2024-07-01T00:00:00Z,2024,7,12,WHO
Angola,AGO,2024-08-01T00:00:00Z,2024,8,53,WHO
Angola,AGO,2024-09-01T00:00:00Z,2024,9,7,WHO
Angola,AGO,2024-10-01T00:00:00Z,2024,10,3,WHO
Angola,AGO,2024-11-01T00:00:00Z,2024,11,2,WHO
Angola,AGO,2024-12-01T00:00:00Z,2024,12,3,WHO
Angola,AGO,2025-02-01T00:00:00Z,2025,2,60,WHO
Angola,AGO,2025-07-01T00:00:00Z,2025,7,34,WHO
Anguilla,AIA,2024-01-01T00:00:00Z,2024,1,NA,PAHO
Anguilla,AIA,2024-02-01T00:00:00Z,2024,2,NA,PAHO
Anguilla,AIA,2024-03-01T00:00:00Z,2024,3,NA,PAHO
Anguilla,AIA,2024-04-01T00:00:00Z,2024,4,NA,PAHO
Anguilla,AIA,2024-05-01T00:00:00Z,2024,5,NA,PAHO
Anguilla,AIA,2024-06-01T00:00:00Z,2024,6,NA,PAHO
Anguilla,AIA,2024-07-01T00:00:00Z,2024,7,NA,PAHO
Anguilla,AIA,2024-08-01T00:00:00Z,2024,8,NA,PAHO
Anguilla,AIA,2024-09-01T00:00:00Z,2024,9,5,WHO
Anguilla,AIA,2024-10-01T00:00:00Z,2024,10,0,WHO
Anguilla,AIA,2024-11-01T00:00:00Z,2024,11,0,WHO
Anguilla,AIA,2024-12-01T00:00:00Z,2024,12,0,WHO
Anguilla,AIA,2025-01-01T00:00:00Z,2025,1,0,WHO
Anguilla,AIA,2025-02-01T00:00:00Z,2025,2,0,WHO
Anguilla,AIA,2025-03-01T00:00:00Z,2025,3,1,PAHO
Anguilla,AIA,2025-04-01T00:00:00Z,2025,4,0,WHO
Anguilla,AIA,2025-05-01T00:00:00Z,2025,5,0,WHO
Anguilla,AIA,2025-06-01T00:00:00Z,2025,6,NA,WHO
Anguilla,AIA,2025-07-01T00:00:00Z,2025,7,NA,WHO
Antigua and Barbuda,ATG,2024-01-01T00:00:00Z,2024,1,41,PAHO
Antigua and Barbuda,ATG,2024-02-01T00:00:00Z,2024,2,NA,PAHO
Antigua and Barbuda,ATG,2024-03-01T00:00:00Z,2024,3,0,WHO
Antigua and Barbuda,ATG,2024-04-01T00:00:00Z,2024,4,74,PAHO
Antigua and Barbuda,ATG,2024-05-01T00:00:00Z,2024,5,8,PAHO
Antigua and Barbuda,ATG,2024-06-01T00:00:00Z,2024,6,NA,PAHO
Antigua and Barbuda,ATG,2024-07-01T00:00:00Z,2024,7,28,WHO
Antigua and Barbuda,ATG,2024-08-01T00:00:00Z,2024,8,0,WHO
Antigua and Barbuda,ATG,2024-09-01T00:00:00Z,2024,9,12,PAHO
Antigua and Barbuda,ATG,2024-10-01T00:00:00Z,2024,10,NA,PAHO
Antigua and Barbuda,ATG,2024-11-01T00:00:00Z,2024,11,6,WHO
Antigua and Barbuda,ATG,2024-12-01T00:00:00Z,2024,12,NA,PAHO
Antigua and Barbuda,ATG,2025-01-01T00:00:00Z,2025,1,0,WHO
Antigua and Barbuda,ATG,2025-02-01T00:00:00Z,2025,2,0,WHO
Antigua and Barbuda,ATG,2025-03-01T00:00:00Z,2025,3,2,PAHO
Antigua and Barbuda,ATG,2025-04-01T00:00:00Z,2025,4,1,PAHO
Antigua and Barbuda,ATG,2025-05-01T00:00:00Z,2025,5,1,WHO
Antigua and Barbuda,ATG,2025-06-01T00:00:00Z,2025,6,2,WHO
Antigua and Barbuda,ATG,2025-07-01T00:00:00Z,2025,7,NA,WHO
Argentina,ARG,2024-01-01T00:00:00Z,2024,1,32998,PAHO
Argentina,ARG,2024-02-01T00:00:00Z,2024,2,80049,PAHO
Argentina,ARG,2024-03-01T00:00:00Z,2024,3,229735,PAHO
Argentina,ARG,2024-04-01T00:00:00Z,2024,4,219578,PAHO
Argentina,ARG,2024-05-01T00:00:00Z,2024,5,18003,PAHO
Argentina,ARG,2024-06-01T00:00:00Z,2024,6,876,PAHO
Argentina,ARG,2024-07-01T00:00:00Z,2024,7,40,PAHO
Argentina,ARG,2024-08-01T00:00:00Z,2024,8,31,PAHO
Argentina,ARG,2024-09-01T00:00:00Z,2024,9,31,PAHO
Argentina,ARG,2024-10-01T00:00:00Z,2024,10,52,PAHO
Argentina,ARG,2024-11-01T00:00:00Z,2024,11,84,PAHO
Argentina,ARG,2024-12-01T00:00:00Z,2024,12,82,PAHO
Argentina,ARG,2025-01-01T00:00:00Z,2025,1,261,PAHO
Argentina,ARG,2025-02-01T00:00:00Z,2025,2,1690,PAHO
Argentina,ARG,2025-03-01T00:00:00Z,2025,3,9505,PAHO
Argentina,ARG,2025-04-01T00:00:00Z,2025,4,6212,PAHO
Argentina,ARG,2025-05-01T00:00:00Z,2025,5,4749,PAHO
Argentina,ARG,2025-06-01T00:00:00Z,2025,6,28,PAHO
Argentina,ARG,2025-07-01T00:00:00Z,2025,7,18,WHO
Armenia,ARM,2024-01-01T00:00:00Z,2024,1,0,WHO
Armenia,ARM,2024-02-01T00:00:00Z,2024,2,0,WHO
Armenia,ARM,2024-03-01T00:00:00Z,2024,3,0,WHO
Armenia,ARM,2024-04-01T00:00:00Z,2024,4,0,WHO
Armenia,ARM,2024-05-01T00:00:00Z,2024,5,0,WHO
Armenia,ARM,2024-06-01T00:00:00Z,2024,6,0,WHO
Armenia,ARM,2024-07-01T00:00:00Z,2024,7,0,WHO
Armenia,ARM,2024-08-01T00:00:00Z,2024,8,0,WHO
Armenia,ARM,2024-09-01T00:00:00Z,2024,9,0,WHO
Armenia,ARM,2024-10-01T00:00:00Z,2024,10,0,WHO
Armenia,ARM,2024-11-01T00:00:00Z,2024,11,0,WHO
Armenia,ARM,2024-12-01T00:00:00Z,2024,12,0,WHO
Armenia,ARM,2025-01-01T00:00:00Z,2025,1,0,WHO
Armenia,ARM,2025-02-01T00:00:00Z,2025,2,0,WHO
Armenia,ARM,2025-03-01T00:00:00Z,2025,3,0,WHO
Armenia,ARM,2025-04-01T00:00:00Z,2025,4,0,WHO
Armenia,ARM,2025-05-01T00:00:00Z,2025,5,0,WHO
Armenia,ARM,2025-06-01T00:00:00Z,2025,6,0,WHO
Armenia,ARM,2025-07-01T00:00:00Z,2025,7,0,WHO
Aruba,ABW,2024-01-01T00:00:00Z,2024,1,3,PAHO
